acorn_group,datetime,energy_kwh,temperature,humidity
ACORN-A,2011-12-03,9.006999999999998,9.77,0.79
ACORN-A,2011-12-04,20.7630002,6.9,0.82
ACORN-A,2011-12-05,6.02,4.84,0.77
ACORN-A,2011-12-06,13.3220001,4.795,0.83
ACORN-A,2011-12-07,6.782,6.965,0.68
ACORN-A,2011-12-08,14.894,8.58,0.81
ACORN-A,2011-12-09,10.796666700000001,4.8549999999999995,0.71
ACORN-A,2011-12-10,18.162333300000004,2.975,0.81
ACORN-A,2011-12-11,20.150000066666667,5.535,0.88
ACORN-A,2011-12-12,13.220000066666671,6.455,0.84
ACORN-A,2011-12-13,15.193999999999999,8.31,0.75
ACORN-A,2011-12-14,16.13233335,5.029999999999999,0.79
ACORN-A,2011-12-15,19.021999983333334,6.025,0.77
ACORN-A,2011-12-16,15.79566665,3.2399999999999998,0.88
ACORN-A,2011-12-17,22.360166683333336,2.795,0.86
ACORN-A,2011-12-18,26.86283333333333,2.465,0.84
ACORN-A,2011-12-19,17.90216665,2.9,0.94
ACORN-A,2011-12-20,19.325000016666667,6.96,0.81
ACORN-A,2011-12-21,15.038250024999998,9.035,0.94
ACORN-A,2011-12-22,18.259888888888888,10.11,0.87
ACORN-A,2011-12-23,18.557222233333334,8.36,0.85
ACORN-A,2011-12-24,21.67877776666667,5.695,0.8
ACORN-A,2011-12-25,23.675444444444445,10.325,0.83
ACORN-A,2011-12-26,23.246777855555557,11.365,0.84
ACORN-A,2011-12-27,17.692333322222222,9.18,0.74
ACORN-A,2011-12-28,20.734666677777778,8.57,0.77
ACORN-A,2011-12-29,22.45133336666667,7.445,0.76
ACORN-A,2011-12-30,20.575333311111113,7.8,0.84
ACORN-A,2011-12-31,20.17899996666667,11.615,0.89
ACORN-A,2012-01-01,21.594111044444446,10.15,0.9
ACORN-A,2012-01-02,20.588111122222223,6.130000000000001,0.81
ACORN-A,2012-01-03,18.12159997,9.185,0.82
ACORN-A,2012-01-04,18.755600010000002,7.3,0.78
ACORN-A,2012-01-05,17.8408,9.4,0.7
ACORN-A,2012-01-06,16.213900000000002,6.79,0.78
ACORN-A,2012-01-07,17.18539998,8.969999999999999,0.72
ACORN-A,2012-01-08,18.050600030000002,8.87,0.75
ACORN-A,2012-01-09,15.87729998,10.035,0.84
ACORN-A,2012-01-10,17.278500010000002,10.225,0.87
ACORN-A,2012-01-11,15.889700010000002,9.145,0.84
ACORN-A,2012-01-12,17.83810003,8.74,0.81
ACORN-A,2012-01-13,15.60779999,3.805,0.83
ACORN-A,2012-01-14,19.93199996,2.11,0.86
ACORN-A,2012-01-15,19.67539996,3.715,0.78
ACORN-A,2012-01-16,17.058090936363637,3.695,0.74
ACORN-A,2012-01-17,19.21436362727273,2.17,0.83
ACORN-A,2012-01-18,16.35772727272727,8.215,0.93
ACORN-A,2012-01-19,16.933272690909092,9.21,0.85
ACORN-A,2012-01-20,16.67936361818182,7.48,0.78
ACORN-A,2012-01-21,19.910727281818183,9.98,0.75
ACORN-A,2012-01-22,20.53190908181818,8.9,0.68
