datetime,energy_kwh,temperature,humidity
2011-12-02,10.145910005000001,5.315,0.87
2011-12-03,10.78027272909091,9.77,0.79
2011-12-04,12.163127274545456,6.9,0.82
2011-12-05,10.60971428888889,4.84,0.77
2011-12-06,11.673416666666668,4.795,0.83
2011-12-07,10.889361845394737,6.965,0.68
2011-12-08,11.525149698802396,8.58,0.81
2011-12-09,11.759836954891304,4.8549999999999995,0.71
2011-12-10,12.633800992537314,2.975,0.81
2011-12-11,13.749174137313434,5.535,0.88
2011-12-12,11.951958332407408,6.455,0.84
2011-12-13,11.957446429464285,8.31,0.75
2011-12-14,12.392775862931034,5.029999999999999,0.79
2011-12-15,12.307079370634922,6.025,0.77
2011-12-16,13.376080141603055,3.2399999999999998,0.88
2011-12-17,13.511967853928573,2.795,0.86
2011-12-18,14.732271427499999,2.465,0.84
2011-12-19,13.774470971612905,2.9,0.94
2011-12-20,12.709106376291793,6.96,0.81
2011-12-21,12.148570198567338,9.035,0.94
2011-12-22,11.839403265940055,10.11,0.87
2011-12-23,12.254989421428572,8.36,0.85
2011-12-24,13.06531745899471,5.695,0.8
2011-12-25,12.949428567460318,10.325,0.83
2011-12-26,11.065576721957672,11.365,0.84
2011-12-27,11.494944444444444,9.18,0.74
2011-12-28,11.790656326614988,8.57,0.77
2011-12-29,12.144920396268656,7.445,0.76
2011-12-30,12.40420924890511,7.8,0.84
2011-12-31,12.436021895133822,11.615,0.89
2012-01-01,12.46626520510949,10.15,0.9
2012-01-02,12.754744524330901,6.130000000000001,0.81
2012-01-03,12.74404545382775,9.185,0.82
2012-01-04,12.741140477142856,7.3,0.78
2012-01-05,12.848078384560571,9.4,0.7
2012-01-06,12.719621752245862,6.79,0.78
2012-01-07,12.76545991226415,8.969999999999999,0.72
2012-01-08,13.395569735933806,8.87,0.75
2012-01-09,12.449049410117647,10.035,0.84
2012-01-10,11.976153838694637,10.225,0.87
2012-01-11,11.981207460606061,9.145,0.84
2012-01-12,12.056824884331798,8.74,0.81
2012-01-13,12.52275687591743,3.805,0.83
2012-01-14,13.496298406833713,2.11,0.86
2012-01-15,14.03721639476082,3.715,0.78
2012-01-16,13.04780760738255,3.695,0.74
2012-01-17,13.2670712688196,2.17,0.83
2012-01-18,12.789209252863436,8.215,0.93
2012-01-19,12.274760772413794,9.21,0.85
2012-01-20,12.783027081041666,7.48,0.78
2012-01-21,12.735594320283976,9.98,0.75
2012-01-22,13.720799185598377,8.9,0.68
2012-01-23,12.614123767583498,5.93,0.78
2012-01-24,12.872251937403101,5.8549999999999995,0.95
2012-01-25,12.553495261290324,9.175,0.9
2012-01-26,12.372054406191369,6.345,0.8
2012-01-27,12.471985347435897,5.805,0.78
2012-01-28,13.367956680685921,4.865,0.86
2012-01-29,14.127586637184116,3.185,0.89
2012-01-30,13.451978834391536,2.61,0.79
2012-01-31,13.890518073666094,0.7949999999999999,0.84
2012-02-01,13.814964403220339,1.22,0.67
2012-02-02,14.368799337335528,-0.17500000000000004,0.59
2012-02-03,14.521274318660286,-0.32499999999999996,0.67
2012-02-04,15.154135638643535,-1.24,0.8
2012-02-05,15.940238171924292,0.845,0.96
2012-02-06,14.046691603053436,2.735,0.92
2012-02-07,13.882766122638682,-0.10000000000000009,0.75
2012-02-08,15.197053412611277,-0.685,0.78
2012-02-09,14.402453743465491,0.41500000000000004,0.81
2012-02-10,14.607209765229886,-0.875,0.81
2012-02-11,14.873677149571428,-1.855,0.78
2012-02-12,15.878634287142857,0.18999999999999995,0.88
2012-02-13,14.305450566525426,3.835,0.9
2012-02-14,13.653157079102385,6.48,0.76
2012-02-15,13.054147583586207,8.77,0.73
2012-02-16,12.593323327012278,8.04,0.74
2012-02-17,12.441717391983696,9.48,0.84
2012-02-18,12.954642279674797,6.98,0.79
2012-02-19,13.755036585230352,3.485,0.64
2012-02-20,13.306266581830238,3.2699999999999996,0.7
2012-02-21,12.639691506274511,8.685,0.76
2012-02-22,12.88360769371795,8.975000000000001,0.84
2012-02-23,11.622128953223767,13.66,0.84
2012-02-24,11.533195762219451,11.99,0.83
2012-02-25,11.80607701590062,9.54,0.67
2012-02-26,12.444221116024845,7.965,0.74
